26-Oct-14,9:30 AM,400554224
26-Oct-14,1:00 PM,400554227
26-Oct-14,1:00 PM,400554230
26-Oct-14,1:00 PM,400554254
26-Oct-14,1:00 PM,400554258
26-Oct-14,1:00 PM,400554264
26-Oct-14,1:00 PM,400554267
26-Oct-14,1:00 PM,400554272
26-Oct-14,1:00 PM,400554298
26-Oct-14,4:05 PM,400554303
26-Oct-14,4:25 PM,400554306
26-Oct-14,4:25 PM,400554310
26-Oct-14,8:30 PM,400554313
27-Oct-14,8:30 PM,400554336
30-Oct-14,8:25 PM,400554309
2-Nov-14,1:00 PM,400554334
2-Nov-14,1:00 PM,400554337
2-Nov-14,1:00 PM,400554339
2-Nov-14,1:00 PM,400554341
2-Nov-14,1:00 PM,400554344
2-Nov-14,1:00 PM,400554347
2-Nov-14,1:00 PM,400554351
2-Nov-14,4:05 PM,400554377
2-Nov-14,4:25 PM,400554381
2-Nov-14,4:25 PM,400554385
2-Nov-14,8:30 PM,400554389
3-Nov-14,8:30 PM,400554393
6-Nov-14,8:25 PM,400554328
9-Nov-14,1:00 PM,400554332
9-Nov-14,1:00 PM,400554355
9-Nov-14,1:00 PM,400554358
9-Nov-14,1:00 PM,400554362
9-Nov-14,1:00 PM,400554367
9-Nov-14,1:00 PM,400554370
9-Nov-14,1:00 PM,400554372
9-Nov-14,4:05 PM,400554396
9-Nov-14,4:25 PM,400554397
9-Nov-14,4:25 PM,400554400
9-Nov-14,8:30 PM,400554403
10-Nov-14,8:30 PM,400554408
13-Nov-14,8:25 PM,400554338
16-Nov-14,1:00 PM,400554340
16-Nov-14,1:00 PM,400554343
16-Nov-14,1:00 PM,400554345
16-Nov-14,1:00 PM,400554348
16-Nov-14,1:00 PM,400554352
16-Nov-14,1:00 PM,400554375
16-Nov-14,1:00 PM,400554378
16-Nov-14,1:00 PM,400554383
16-Nov-14,1:00 PM,400554387
16-Nov-14,4:05 PM,400554391
16-Nov-14,4:25 PM,400554414
16-Nov-14,8:30 PM,400554417
20-Nov-14,8:25 PM,400554293
23-Nov-14,1:00 PM,400554317
23-Nov-14,1:00 PM,400554320
23-Nov-14,1:00 PM,400554322
23-Nov-14,1:00 PM,400554324
23-Nov-14,1:00 PM,400554326
23-Nov-14,1:00 PM,400554329
23-Nov-14,1:00 PM,400554331
23-Nov-14,1:00 PM,400554333
23-Nov-14,4:05 PM,400554357
23-Nov-14,4:05 PM,400554360
23-Nov-14,4:25 PM,400554364
23-Nov-14,4:25 PM,400554365
23-Nov-14,8:30 PM,400554369
24-Nov-14,8:30 PM,400554394
27-Nov-14,12:30 PM,400554281
27-Nov-14,4:30 PM,400554285
27-Nov-14,8:30 PM,400554289
30-Nov-14,1:00 PM,400554292
30-Nov-14,1:00 PM,400554316
30-Nov-14,1:00 PM,400554321
30-Nov-14,1:00 PM,400554323
30-Nov-14,1:00 PM,400554327
30-Nov-14,1:00 PM,400554330
30-Nov-14,1:00 PM,400554354
30-Nov-14,1:00 PM,400554359
30-Nov-14,1:00 PM,400554363
30-Nov-14,4:05 PM,400554368
30-Nov-14,4:25 PM,400554371
30-Nov-14,8:30 PM,400554395
1-Dec-14,8:30 PM,400554399
4-Dec-14,8:25 PM,400554349
7-Dec-14,1:00 PM,400554374
7-Dec-14,1:00 PM,400554379
7-Dec-14,1:00 PM,400554384
7-Dec-14,1:00 PM,400554388
7-Dec-14,1:00 PM,400554416
7-Dec-14,1:00 PM,400554419
11-Dec-14,8:25 PM,400554342
14-Dec-14,1:00 PM,400554346
14-Dec-14,1:00 PM,400554350
14-Dec-14,1:00 PM,400554353
14-Dec-14,1:00 PM,400554376
14-Dec-14,1:00 PM,400554380
14-Dec-14,1:00 PM,400554382
14-Dec-14,1:00 PM,400554386
14-Dec-14,1:00 PM,400554390
14-Dec-14,1:00 PM,400554392
14-Dec-14,1:00 PM,400554415
14-Dec-14,4:05 PM,400554418
18-Dec-14,8:25 PM,400554356
21-Dec-14,1:00 PM,400554373
21-Dec-14,1:00 PM,400554398
21-Dec-14,1:00 PM,400554401
21-Dec-14,1:00 PM,400554402
21-Dec-14,1:00 PM,400554406
21-Dec-14,1:00 PM,400554410
28-Dec-14,1:00 PM,400554404
28-Dec-14,1:00 PM,400554405
28-Dec-14,1:00 PM,400554407
28-Dec-14,1:00 PM,400554409
28-Dec-14,1:00 PM,400554411
28-Dec-14,1:00 PM,400554412
28-Dec-14,1:00 PM,400554413
